name,location_city,location_neighborhood,location_coordinates,categories_0,bio_summary,bio_url,bio_birthdate,bio_deathdate,bio_yearsActiveStart,bio_yearsActiveEnd,youtube_clipExampleUrl,categories_1,categories_2
Lil Boosie,Baton Rouge,,"-91.190339, 30.422383",rapper,"Torrence Hatch (born November 14, 1982), known professionally as Boosie Badazz (formerly known as Lil Boosie), is an American rapper from Baton Rouge, Louisiana.",https://en.wikipedia.org/wiki/Boosie_Badazz,1982-11-14T00:00:00.000Z,,1996,,https://www.youtube.com/embed/n72jR6P_RDk?list=RDYwZYZsV5yQ0,,
Kodak Black,Pompano Beach,Golden Acres,"-80.1460351, 26.244499",rapper,"Dieuson Octave (born June 11, 1997), better known by his stage name Kodak Black, is an American hip hop recording artist.",https://en.wikipedia.org/wiki/Kodak_Black,1997-06-11T00:00:00.000Z,,2009,,https://www.youtube.com/embed/pzhctd7n_fA,,
Denzel curry,Miami,Carol City,"-80.2573833, 25.9413812",rapper,"Denzel Rae Don Curry (born February 16, 1995) is an American hip hop recording artist from Carol City, Florida.",https://en.wikipedia.org/wiki/Denzel_Curry,1995-02-16T00:00:00.000Z,,2009,,https://www.youtube.com/embed/q8VO4Rm3ulw,,
Gunplay,Miami,Carol City,"-80.289421, 25.927072",rapper,"Richard Morales, Jr. (born July 18, 1979), better known by his stage name Gunplay, is an American hip hop recording artist from Carol City, Florida.",https://en.wikipedia.org/wiki/Gunplay_(rapper),1979-07-18T00:00:00.000Z,,1997,,https://www.youtube.com/embed/WwfHcsKcUxg,,
Trick Daddy,Miami,Liberty City Square,"-80.22, 25.836111",rapper,"Maurice Young (born September 27, 1974), better known by his stage name Trick Daddy, is an American rapper, actor, and producer from Miami's Liberty City.",https://en.wikipedia.org/wiki/Trick_Daddy,1974-09-27T00:00:00.000Z,,1993,,https://www.youtube.com/embed/ILCNAln_7Z4,,
Rick Ross,Miami,Carol City,"-80.207326, 25.897749",rapper,"William Leonard Roberts II (born January 28, 1976), known professionally by his stage name Rick Ross, is an American rapper and entrepreneur.",https://en.wikipedia.org/wiki/Rick_Ross,1976-01-28T00:00:00.000Z,,2000,,https://www.youtube.com/embed/JU9TouRnO84?list=PL7X4NB3jlC3BTnFB6HojJw2dx5JShs1V_,,
Mac Dre,Vallejo,Country Club Crest,"-122.2386108, 38.1468556",rapper,"Andre Louis Hicks (July 5, 1970 %u2013 November 1, 2004), better known by his stage name Mac Dre, was an American rapper and record producer. On November 1, 2004, Mac Dre was fatally shot and killed by an unknown assailant after a performance in Kansas City, Missouri.",https://en.wikipedia.org/wiki/Mac_Dre,1970-07-05T00:00:00.000Z,2004-11-01T00:00:00.000Z,1989,2004.0,https://www.youtube.com/embed/j8Szl_JyCUQ,,
E-40,Vallejo,,"-122.2235957, 38.0806752",rapper,"Earl Stevens (born November 15, 1967) better known by his stage name E-40, is an American rapper, entrepreneur, and investor from Vallejo, California. ",https://en.wikipedia.org/wiki/E-40,1967-11-15T00:00:00.000Z,,1986,,https://www.youtube.com/embed/HlHmAB_IPuc?list=PLB61127306C299605,,
MC Hammer,Oakland,East Oakland,"-122.1853557, 37.7433152",rapper,"Stanley Kirk Burrell (born March 30, 1962), better known by his stage name M.C. Hammer, is an American hip hop recording artist, dancer, record producer.",https://en.wikipedia.org/wiki/MC_Hammer,,,1985,,https://www.youtube.com/embed/otCpCn0l4Wo,singer,
Del the Funky Homosapien,Oakland,,"-122.1618747, 37.7980038",rapper,"Teren Delvon Jones (born August 12, 1972), better known as Del the Funky Homosapien or Sir DZL, is an American underground hip hop MC.",https://en.wikipedia.org/wiki/Del_the_Funky_Homosapien,1972-08-12T00:00:00.000Z,,1988,,https://www.youtube.com/embed/o0xDGXotGIE,,
Too $hort,Oakland,,"-122.209036, 37.773514",rapper,"Todd Anthony Shaw (born April 28, 1966), better known by the stage name Too Short (stylized as Too $hort), is an American rapper, producer, and actor.",https://en.wikipedia.org/wiki/Too_Short,1966-04-28T00:00:00.000Z,,1984,,https://www.youtube.com/embed/fw0uz88E2gI,,
The Coup,Oakland,,"-122.2718327, 37.8026292",group,"The Coup is an American hip hop band from Oakland, California. Their music is an amalgamation of influences, including funk, punk, hip hop, and soul.",https://en.wikipedia.org/wiki/The_Coup,,,1991,,https://www.youtube.com/embed/LsUDGxdeICw,,
Damso,Bruxelles,,"4.3508639, 50.8353541",rapper,"William Kalubi (born 10 May 1992 in Kinshasa), better known by his stage name Damso, is a Belgian-Congolese rapper, singer, and songwriter.",https://en.wikipedia.org/wiki/Damso,1992-05-10T00:00:00.000Z,,2006,,https://www.youtube.com/embed/9vSpgfZeuMA,,
Negatif clan,Bruxelles,Héliport,"4.351675, 50.8620201",group,"Negatif Clan was a Belgian rap band, based in Bruxelles, known for their hardcore style. ",,,,2014,2016.0,https://www.youtube.com/embed/w5NctIKGGZI,,
Shurik'n,Miramas,,"5.001944, 43.582222",rapper,"Geoffroy Mussard (born in 1966), known by his stage name Shurik'n Chang-Ti, is a French hip hop recording artist from Marseille.",https://en.wikipedia.org/wiki/Shurik%27n,1966-03-11T00:00:00.000Z,,1986,,https://www.youtube.com/embed/QMBTDuvl6dQ,,
Akhenaton,Marseille,Plan-de-Cuques,"5.4463259, 43.3641924",rapper,"Philippe Fragione, better known by his stage name Akhenaton (born 17 September 1968, Marseille), is a French rapper and producer of French hip hop. ",https://en.wikipedia.org/wiki/Akhenaton_(rapper),1968-09-17T00:00:00.000Z,,1985,,https://www.youtube.com/embed/_AKNGgSmhoY,,
Gangsta Boo,Memphis,,"-89.9198745, 35.0616103",rapper,"Lola Chantrelle Mitchell, known as Gangsta Boo (August 7, 1979 - Jan 1, 2023) was an American rapper. She was a founding member of the Memphis, Tennessee-based rap group Three 6 Mafia.",https://en.wikipedia.org/wiki/Gangsta_Boo,1979-08-07T00:00:00.000Z,2023-01-01T00:00:00.000Z,1991,2023.0,https://www.youtube.com/embed/J1vxn1ica14,,
Juicy J,Memphis,Hollywood,"-89.9752, 35.1754",rapper,"Jordan Michael Houston (born April 5, 1975), better known by his stage name Juicy J, is an American rapper, songwriter and record producer, member of the Three Six Mafia, from Memphis, Tennessee.",https://en.wikipedia.org/wiki/Juicy_J,1975-04-05T00:00:00.000Z,,1991,,https://www.youtube.com/embed/MlAlXF-tqkc,,
DJ Paul,Memphis,White Heaven,"-90.052732, 35.034543",rapper,"Paul Duane Beauregard, (born January 12, 1975) better known by his stage name DJ Paul, is an American rapper, record producer, DJ, songwriter and entrepreneur, member of the Three Six Mafia, from Memphis, Tennessee.",https://en.wikipedia.org/wiki/DJ_Paul,1977-01-12T00:00:00.000Z,,1989,,https://www.youtube.com/embed/xhP4XmbQUZ8,,
Drake,Toronto,Forest Hill,"-79.4237412, 43.6966656",rapper,"Aubrey Drake Graham (born October 24, 1986), known simply as Drake, is a Canadian rapper, singer, songwriter, record producer, and actor.",https://en.wikipedia.org/wiki/Drake_(musician),1986-10-24T00:00:00.000Z,,2001,,https://www.youtube.com/embed/uxpDa-c-4Mc,singer,
Lino,Villiers-le-Bel,,"2.3833,49",rapper,Gaëlino M'Bani better known by his stage name Lino is a French rapper. He was a member of the French rap duo Ärsenik with his brother Calboni M'Bani known as Calbo in the duo.,https://en.wikipedia.org/wiki/Lino_(rapper),1974-05-23T00:00:00.000Z,,1992,,https://www.youtube.com/embed/mps059Dn_P4,,
Doc Gynéco,Paris,Porte de la Chapelle,"2.3570033,48.8972825",rapper,"Doc Gynéco, real name, Bruno Beausir, is a French hip hop artist of Guadeloupean origin. His music is typically characterized as a ragga/rap style, that has found its fan base in France.",https://en.wikipedia.org/wiki/Doc_Gyn%C3%A9co,1974-05-10T00:00:00.000Z,,1994,,https://www.youtube.com/embed/KnFCNQUTgaU,singer,
Gradur,Roubaix,Schweitzer,"3.1986945,50.6700138",rapper,"Wanani Gradi Mariadi (born 1990) better known as Gradur is a French rapper of Congolese origin originating from Roubaix, Nord-Pas-de-Calais.",https://en.wikipedia.org/wiki/Gradur,1990-11-28T00:00:00.000Z,,2013,,https://www.youtube.com/embed/4Cw_sgFePv4,,
Morsay,Paris,Clignancourt,"2.3346822, 48.8902463",rapper,"Mohamed Mehadji know has Morsay, (born 19/08 1980). Is a french rapper know for is internet video.",https://fr.wikipedia.org/wiki/Morsay,1972-08-19T00:00:00.000Z,,2007,,https://www.youtube.com/embed/qLoW8OQN4fM,,
Aelpéacha,Joinville-le-Pont,,"2.4698424,48.8207209",rapper,"Nicolas Alpha Malbranche know has Aelpéacha, (born 12 June 1979) is a french producer, rapper, from Paris, know for is G-funk style.",https://www.last.fm/music/Aelp%C3%A9acha/+wiki,1979-06-12T00:00:00.000Z,,1994,,https://www.youtube.com/embed/fPbL1CCnIaQ,,
MC Solaar,Villeneuve-Saint-Georges,Quartier Nord,"2.4485109, 48.7511682",rapper,"Claude M'Barali better known by his stage name MC Solaar (born March 5, 1969) is a French hip hop and rap artist with Senegalese and Chadian origins.",https://en.wikipedia.org/wiki/MC_Solaar,1969-03-05T00:00:00.000Z,,1988,,https://www.youtube.com/embed/PjELabiPItw,singer,
Lacrim,Chevilly-Larue,Cité Anatole France,"2.3640913, 48.7650549",rapper,Karim Zenoud better known by his stage name Lacrim at times stylized as LaCrim is a French rapper from Algerian origins.,https://en.wikipedia.org/wiki/Lacrim,1985-04-19T00:00:00.000Z,,2009,,https://www.youtube.com/embed/Im9ReKhoN4o,,
Salif,Boulogne-Billancourt,Pont de Sèvres,"2.2334914, 48.8289706",rapper,"Salif Fofana better known by the mononym Salif (born Salif Wonka in 1982), is a French rapper based in Boulogne-Billancourt of Malian and Guadeloupean origin.",https://en.wikipedia.org/wiki/Salif_(rapper),,,1995,2013.0,https://www.youtube.com/embed/TcCD7SOyCUI,,
Busta Flex,Épinay-sur-Seine,Orgemont,"2.295370, 48.957826",rapper,"Valéry François know has Busta Flex, (born 30 september 1977) is a french rapper from Val-d'Oise.",https://fr.wikipedia.org/wiki/Busta_Flex,1977-09-30T00:00:00.000Z,,1994,,https://www.youtube.com/embed/fcK5FOxWKew,,
Zoxea,Boulogne Billancourt,Casteja,"2.2367953, 48.8305624",rapper,"Jean-Jacques Kodjo, a.k.a. Zoxea, was born on November 11, 1974 in Sèvres, Hauts-de-Seine.",https://en.wikipedia.org/wiki/Zoxea,1974-11-11T00:00:00.000Z,,1993,,https://www.youtube.com/embed/tf-wbTQ4L3A,,
Kool Shen,Saint-Denis,,"2.3702192, 48.9426404",rapper,"Bruno Lopes, alias Kool Shen, (born 9 February 1966) is a French rapper and producer, with Portuguese origins. He is also a break dancer and a graffiti artist. He is a co-founder of Suprême NTM and one of the major figures of French rap. ",https://en.wikipedia.org/wiki/Kool_Shen,1966-02-09T00:00:00.000Z,,1989,,https://www.youtube.com/embed/ZqCKvXwMjpQ,,
Joeystarr,Saint-Denis,Cité Président Salvador Allende,"2.369358,48.9455024",rapper,"Didier Morville, better known by his stage name Joeystarr (stylized JoeyStarr is a French rapper of Martinican origin, from Saint-Denis. ",https://en.wikipedia.org/wiki/Joeystarr,1967-10-27T00:00:00.000Z,,1989,,https://www.youtube.com/embed/Up5oEw55QO4,,
Niro,Blois,,"1.328056,47.593889",rapper,"Noureddine Bahri (born 1987 in Orléans, Loiret), better known as Niro, is a French rapper of Moroccan descent who grew up in Blois.",https://en.wikipedia.org/wiki/Niro_(rapper),1987-07-09T00:00:00.000Z,,2007,,https://www.youtube.com/embed/J-hfJvIg14A,,
Oxmo Puccino,Paris,Danube,"2.3873334, 48.8823502",rapper,Oxmo Puccino (born Abdoulaye Diarra; 3 August 1974) is a hip hop musician born in Mali.,https://en.wikipedia.org/wiki/Oxmo_Puccino,1974-08-03T00:00:00.000Z,,1995,,https://www.youtube.com/embed/d40sUi3oW_o,singer,
LIM,Boulogne-Billancourt,Pont de Sèvres,"2.2322435,48.829336",rapper,"Salim Lakhdari (born in July, 1979 in Boulogne-Billancourt (Paris), France), more commonly known as LIM, is a French rapper and producer of Kabyle Algerian origin.",https://en.wikipedia.org/wiki/LIM_(rapper),,,1996,,https://www.youtube.com/embed/3ncd4YkXmGw,,
Kaaris,Sevran,Rougemont,"2.5132507,48.9350964",rapper,Kaaris (born Okou Armand Gnakouri on 30 January 1980) is a French rapper from Sevran.,https://en.wikipedia.org/wiki/Kaaris,1980-01-30T00:00:00.000Z,,2005,,https://www.youtube.com/embed/xX4Pxiwti4E,,
Juicy P,Grigny,La Grande Borne,"2.372164, 48.653538",rapper,Juicy P is a french Rapper from Grigny.,,,,2006,,https://www.youtube.com/embed/_m_ZdKlGP84,,
Seth Gueko,Saint-Ouen-l'Aumône,,"2.1167, 49.05",rapper,"Nicolas Salvadori (born in Saint-Ouen-l'Aumône, Val-d'Oise, France on 27 October 1980), better known by his stage name Seth Gueko, is a French rapper.",https://en.wikipedia.org/wiki/Seth_Gueko,1980-10-27T00:00:00.000Z,,2003,,https://www.youtube.com/embed/Vj1Sz8HAk7I,,
Alkpote,Évry-Courcouronnes,Les Pyramides,"2.4298817,48.6338203",rapper,Atef Kahlaoui know has Alkpote is a French Rapper from Evry.,https://fr.wikipedia.org/wiki/Alkpote,1981-02-03T00:00:00.000Z,,2005,,https://www.youtube.com/embed/QEh9LQTuiSg,,
Ali,Issy-les-Moulineaux,,"2.27, 48.823889",rapper,"Ali, originally Daddy Ali (born in 1975 at Issy-les-Moulineaux, France) is a French rapper of Moroccan origin.",https://en.wikipedia.org/wiki/Ali_(French_rapper),,,1998,,https://www.youtube.com/embed/wUOUw7Obrq0,,
Booba,Boulogne-Billancourt,,"2.240947, 48.835198",rapper,"Elie Yaffa (born December 9, 1976), better known under his stage name Booba is a French rapper from Boulogne Billancourt. ",https://en.wikipedia.org/wiki/Booba,1976-12-09T00:00:00.000Z,,1998,,https://www.youtube.com/embed/IZmCwtYk98A,,
Birdman,New Orleans,,"-90.104417, 29.959346",rapper,"Bryan Williams (born February 15, 1969), known by his stage names Birdman or Baby, is an American rapper, record producer, and entrepreneur. He is the co-founder and public face of Cash Money Records.",https://en.wikipedia.org/wiki/Birdman_(rapper),1969-02-15T00:00:00.000Z,,1990,,https://www.youtube.com/embed/Rsgl14UQHDQ,,
Playa Fly,Memphis,,"-90.0433016, 35.1072904",rapper,"Playa Fly (born Ibn Young on September 2, 1977) is an American rapper from Memphis, Tennessee. Fly was a member of the Triple 6 Mafia (now known as Three 6 Mafia, then known as Lil' Fly), but he stopped collaborating in 1995 due to monetary disputes and philosophical differences after recording one album under the group's guidance.",https://en.wikipedia.org/wiki/Playa_Fly,1977-09-02T00:00:00.000Z,,1993,,https://www.youtube.com/embed/TdP1MzJE700,,
Lil Wayne,New Orleans,,"-90.117544, 29.967252",rapper,"Dwayne Michael Carter Jr. (born September 27, 1982), known professionally as Lil Wayne, is an American hip hop recording artist and author from New Orleans, Louisiana.",https://en.wikipedia.org/wiki/Lil_Wayne,1982-09-27T00:00:00.000Z,,1997,,https://www.youtube.com/embed/UROLAsyc_KU,,
Three 6 Mafia,Memphis,,"-89.971068, 35.117365",group,"Three 6 Mafia, originally known as Triple 6 Mafia, is an American hip hop group originally from Memphis, Tennessee. The group was formed by DJ Paul, Lord Infamous, Juicy J, Koopsta Knicca and Gangsta Boo.",https://en.wikipedia.org/wiki/Three_6_Mafia,,,1991,2012.0,https://www.youtube.com/embed/s0G9jPaZSKw,,
DJ Quik,Los Angeles,Compton,"-118.2450207, 33.88356",rapper,"David Marvin Blake (born January 18, 1970), better known by his stage name DJ Quik, is an American hip hop recording artist, DJ and record producer.",https://en.wikipedia.org/wiki/DJ_Quik,1970-01-18T00:00:00.000Z,,1987,,https://www.youtube.com/embed/LaCyV8eiRm8,,
N.W.A,Los Angeles,Compton,"-118.2314667,33.89033",group,"N.W.A (an abbreviation for Niggaz Wit Attitudes) was an American hip hop group from Compton, California.",https://en.wikipedia.org/wiki/N.W.A,,,1986,1991.0,https://www.youtube.com/embed/TMZi25Pq3T8,,
Arabian Prince,Los Angeles,,"-118.3636301, 33.9540723",rapper,"Kim Renard Nazel (born June 17, 1965), better known by the stage name Arabian Prince, is an American singer-songwriter, rapper and producer, former member of the N.W.A. group.",https://en.wikipedia.org/wiki/Arabian_Prince,1965-06-17T00:00:00.000Z,,1980,1994.0,https://www.youtube.com/embed/FEwCRkFk2vY,,
Ice Cube,Los Angeles,Compton,"-118.3135802, 33.9367515",rapper,"O'Shea Jackson Sr. (born June 15, 1969), known professionally as Ice Cube, is an American rapper, songwriter, record producer, actor and filmmaker. ",https://en.wikipedia.org/wiki/Ice_Cube,1969-06-15T00:00:00.000Z,,1984,,https://www.youtube.com/embed/h4UqMyldS7Q,,
Dj Yella,Los Angeles,Compton,"-118.2333217, 33.896006",producer / dj,Dj Yella is an american Producer from Los Angeles. He was a member of N.W.A.,https://en.wikipedia.org/wiki/DJ_Yella,1967-12-11T00:00:00.000Z,,1984,1997.0,,,
MC Ren,Los Angeles,Compton,"-118.1992392, 33.8851198",rapper,"Lorenzo Jerald Patterson (born June 14, 1969), better known by his stage name MC Ren, is an American rapper from Compton, California.",https://en.wikipedia.org/wiki/MC_Ren,1969-06-16T00:00:00.000Z,,1987,,https://www.youtube.com/embed/f_Axa_WaaEA,,
Eazy-E,Los Angeles,Compton,"-118.200819, 33.881899",rapper,"Eric Lynn Wright (September 7, 1964 %u2013 March 26, 1995), better known by his stage name Eazy-E, was an American rapper who performed solo and in the hip hop group N.W.A. Wright is affectionately called ""The Godfather of Gangsta Rap"". He was born to Richard and Kathie Wright in Compton, California.",https://en.wikipedia.org/wiki/Eazy-E,1964-09-07T00:00:00.000Z,1995-03-26T00:00:00.000Z,1986,1995.0,https://www.youtube.com/embed/fJuapp9SORA,,
Dr. Dre,Los Angeles,Compton,"-118.25683, 33.893247",producer / dj,"Andre Romelle Young (born February 18, 1965), better known by his stage name Dr. Dre, is an American rapper, record producer, and entrepreneur.",https://en.wikipedia.org/wiki/Dr._Dre,1965-02-18T00:00:00.000Z,,1984,,https://www.youtube.com/embed/wWJqt0u_TCs,rapper,
Nas,Queens,Queensbridge,"-73.945333, 40.755194",rapper,"Nasir bin Olu Dara Jones (born September 14, 1973), better known by his stage name Nas /%u02C8n%u0251%u02D0z/, is an American hip hop recording artist, record producer, actor and entrepreneur.",https://en.wikipedia.org/wiki/Nas,1973-09-14T00:00:00.000Z,,1991,,https://www.youtube.com/embed/3hOZaTGnHU4,,
Jay Z,Brooklyn,Bedford-Stuyvesant,"-73.952231, 40.699153",rapper,"Shawn Corey Carter (born December 4, 1969), best known as his stage name Jay Z, is an American rapper, businessman, and investor. Formerly known as Jay-Z, he is one of the best-selling musicians of all time, having sold more than 100 million records.",https://en.wikipedia.org/wiki/Jay_Z,1969-12-04T00:00:00.000Z,,1986,,https://www.youtube.com/embed/6uikJTnmtgw,,
Redman,Newark,Brick City,"-74.213194, 40.735640",rapper,"Reginald ""Reggie"" Noble (born April 17, 1970), better known by his stage name Redman, is an American rapper, DJ, record producer, and actor. He rose to fame in the early 1990s as an artist on the Def Jam label.",https://en.wikipedia.org/wiki/Redman_(rapper),1970-04-17T00:00:00.000Z,,1990,,https://www.youtube.com/embed/ZBNh2PPqlJs,,
